西元日期,星期,是否放假,備註
20170101,日,2,開國紀念日
20170102,一,2,補假
20170103,二,0,
20170104,三,0,
20170105,四,0,
20170106,五,0,
20170107,六,2,
20170108,日,2,
20170109,一,0,
20170110,二,0,
20170111,三,0,
20170112,四,0,
20170113,五,0,
20170114,六,2,
20170115,日,2,
20170116,一,0,
20170117,二,0,
20170118,三,0,
20170119,四,0,
20170120,五,0,
20170121,六,2,
20170122,日,2,
20170123,一,0,
20170124,二,0,
20170125,三,0,
20170126,四,0,
20170127,五,2,農曆除夕
20170128,六,2,春節
20170129,日,2,春節
20170130,一,2,春節
20170131,二,2,補假
20170201,三,2,補假
20170202,四,0,
20170203,五,0,
20170204,六,2,
20170205,日,2,
20170206,一,0,
20170207,二,0,
20170208,三,0,
20170209,四,0,
20170210,五,0,
20170211,六,2,
20170212,日,2,
20170213,一,0,
20170214,二,0,
20170215,三,0,
20170216,四,0,
20170217,五,0,
20170218,六,0,調整上班
20170219,日,2,
20170220,一,0,
20170221,二,0,
20170222,三,0,
20170223,四,0,
20170224,五,0,
20170225,六,2,
20170226,日,2,
20170227,一,2,調整放假
20170228,二,2,和平紀念日
20170301,三,0,
20170302,四,0,
20170303,五,0,
20170304,六,2,
20170305,日,2,
20170306,一,0,
20170307,二,0,
20170308,三,0,
20170309,四,0,
20170310,五,0,
20170311,六,2,
20170312,日,2,
20170313,一,0,
20170314,二,0,
20170315,三,0,
20170316,四,0,
20170317,五,0,
20170318,六,2,
20170319,日,2,
20170320,一,0,
20170321,二,0,
20170322,三,0,
20170323,四,0,
20170324,五,0,
20170325,六,2,
20170326,日,2,
20170327,一,0,
20170328,二,0,
20170329,三,0,
20170330,四,0,
20170331,五,0,
20170401,六,2,
20170402,日,2,
20170403,一,2,補假
20170404,二,2,兒童節及民族掃墓節
20170405,三,0,
20170406,四,0,
20170407,五,0,
20170408,六,2,
20170409,日,2,
20170410,一,0,
20170411,二,0,
20170412,三,0,
20170413,四,0,
20170414,五,0,
20170415,六,2,
20170416,日,2,
20170417,一,0,
20170418,二,0,
20170419,三,0,
20170420,四,0,
20170421,五,0,
20170422,六,2,
20170423,日,2,
20170424,一,0,
20170425,二,0,
20170426,三,0,
20170427,四,0,
20170428,五,0,
20170429,六,2,
20170430,日,2,
20170501,一,0,
20170502,二,0,
20170503,三,0,
20170504,四,0,
20170505,五,0,
20170506,六,2,
20170507,日,2,
20170508,一,0,
20170509,二,0,
20170510,三,0,
20170511,四,0,
20170512,五,0,
20170513,六,2,
20170514,日,2,
20170515,一,0,
20170516,二,0,
20170517,三,0,
20170518,四,0,
20170519,五,0,
20170520,六,2,
20170521,日,2,
20170522,一,0,
20170523,二,0,
20170524,三,0,
20170525,四,0,
20170526,五,0,
20170527,六,2,
20170528,日,2,
20170529,一,2,調整放假
20170530,二,2,端午節
20170531,三,0,
20170601,四,0,
20170602,五,0,
20170603,六,0,調整上班
20170604,日,2,
20170605,一,0,
20170606,二,0,
20170607,三,0,
20170608,四,0,
20170609,五,0,
20170610,六,2,
20170611,日,2,
20170612,一,0,
20170613,二,0,
20170614,三,0,
20170615,四,0,
20170616,五,0,
20170617,六,2,
20170618,日,2,
20170619,一,0,
20170620,二,0,
20170621,三,0,
20170622,四,0,
20170623,五,0,
20170624,六,2,
20170625,日,2,
20170626,一,0,
20170627,二,0,
20170628,三,0,
20170629,四,0,
20170630,五,0,
20170701,六,2,
20170702,日,2,
20170703,一,0,
20170704,二,0,
20170705,三,0,
20170706,四,0,
20170707,五,0,
20170708,六,2,
20170709,日,2,
20170710,一,0,
20170711,二,0,
20170712,三,0,
20170713,四,0,
20170714,五,0,
20170715,六,2,
20170716,日,2,
20170717,一,0,
20170718,二,0,
20170719,三,0,
20170720,四,0,
20170721,五,0,
20170722,六,2,
20170723,日,2,
20170724,一,0,
20170725,二,0,
20170726,三,0,
20170727,四,0,
20170728,五,0,
20170729,六,2,
20170730,日,2,
20170731,一,0,
20170801,二,0,
20170802,三,0,
20170803,四,0,
20170804,五,0,
20170805,六,2,
20170806,日,2,
20170807,一,0,
20170808,二,0,
20170809,三,0,
20170810,四,0,
20170811,五,0,
20170812,六,2,
20170813,日,2,
20170814,一,0,
20170815,二,0,
20170816,三,0,
20170817,四,0,
20170818,五,0,
20170819,六,2,
20170820,日,2,
20170821,一,0,
20170822,二,0,
20170823,三,0,
20170824,四,0,
20170825,五,0,
20170826,六,2,
20170827,日,2,
20170828,一,0,
20170829,二,0,
20170830,三,0,
20170831,四,0,
20170901,五,0,
20170902,六,2,
20170903,日,2,
20170904,一,0,
20170905,二,0,
20170906,三,0,
20170907,四,0,
20170908,五,0,
20170909,六,2,
20170910,日,2,
20170911,一,0,
20170912,二,0,
20170913,三,0,
20170914,四,0,
20170915,五,0,
20170916,六,2,
20170917,日,2,
20170918,一,0,
20170919,二,0,
20170920,三,0,
20170921,四,0,
20170922,五,0,
20170923,六,2,
20170924,日,2,
20170925,一,0,
20170926,二,0,
20170927,三,0,
20170928,四,0,
20170929,五,0,
20170930,六,0,調整上班
20171001,日,2,
20171002,一,0,
20171003,二,0,
20171004,三,2,中秋節
20171005,四,0,
20171006,五,0,
20171007,六,2,
20171008,日,2,
20171009,一,2,調整放假
20171010,二,2,國慶日
20171011,三,0,
20171012,四,0,
20171013,五,0,
20171014,六,2,
20171015,日,2,
20171016,一,0,
20171017,二,0,
20171018,三,0,
20171019,四,0,
20171020,五,0,
20171021,六,2,
20171022,日,2,
20171023,一,0,
20171024,二,0,
20171025,三,0,
20171026,四,0,
20171027,五,0,
20171028,六,2,
20171029,日,2,
20171030,一,0,
20171031,二,0,
20171101,三,0,
20171102,四,0,
20171103,五,0,
20171104,六,2,
20171105,日,2,
20171106,一,0,
20171107,二,0,
20171108,三,0,
20171109,四,0,
20171110,五,0,
20171111,六,2,
20171112,日,2,
20171113,一,0,
20171114,二,0,
20171115,三,0,
20171116,四,0,
20171117,五,0,
20171118,六,2,
20171119,日,2,
20171120,一,0,
20171121,二,0,
20171122,三,0,
20171123,四,0,
20171124,五,0,
20171125,六,2,
20171126,日,2,
20171127,一,0,
20171128,二,0,
20171129,三,0,
20171130,四,0,
20171201,五,0,
20171202,六,2,
20171203,日,2,
20171204,一,0,
20171205,二,0,
20171206,三,0,
20171207,四,0,
20171208,五,0,
20171209,六,2,
20171210,日,2,
20171211,一,0,
20171212,二,0,
20171213,三,0,
20171214,四,0,
20171215,五,0,
20171216,六,2,
20171217,日,2,
20171218,一,0,
20171219,二,0,
20171220,三,0,
20171221,四,0,
20171222,五,0,
20171223,六,2,
20171224,日,2,
20171225,一,0,
20171226,二,0,
20171227,三,0,
20171228,四,0,
20171229,五,0,
20171230,六,2,
20171231,日,2,
